,, url, ,comment
all datasets, https://github.com/greatzh/Image-Forgery-Datasets-List/blob/main/README.md
Manipulated-Image-Dataset, https://cfreds.nist.gov/all/JiwonLee%2FDonggukUniversity/ManipulatedImageDataset,,,brisanje backgrounda i jpeg kvantizacija
Casia_v1.0, https://github.com/namtpham/casia1groundtruth/tree/master?tab=readme-ov-file,,, malene slike
Columbia_Color, https://www.ee.columbia.edu/ln/dvmm/downloads/authsplcuncmp/,,, malo veće i jako očit splicing
CASIA v2.0, https://github.com/namtpham/casia2groundtruth/tree/master,,, dobar primjer za inpainting
inpainting-images, https://github.com/cantarinigiorgio/Image-Inpainting/tree/master/images,,, u test folderu za PatchMatch
automated-forgery, https://github.com/kalinkinisaac/auto-forgery-detection/tree/master,,, predviđene za JPEG ali mogu ih isprobati
CocoGlide, https://recodbr.wordpress.com/code-n-data/#dso1_dsi1,,, isto male slike ali ima i maske
FantasticReality_v1, https://github.com/mjkwon2021/CAT-Net/tree/main,,, odlicne slike!
Carvalho, http://ic.unicamp.br/~rocha/pub/downloads/2014-tiago-carvalho-thesis/tifs-database.zip,,, odlican splicing!

